"#"
"�"
"️"
"\."
"\{"
"\}"
"\["
"\]"
"^"
"@"
";"
"<"
"ˇ"
"“"
"〞"
"="
"︼"
"@"
"﹊"
"～"
"%"
"︴"
"﹖"
"﹏"
"_"
"﹀"
","
":"
"\|"
"\)"
"&"
"∶"
"﹨"
"﹋"
"–"
"﹄"
"々"
"﹕"
"￣"
"˜"
">"
"<"
"〕"
"¯"
"\"
"\("
"︿"
"ˉ"
"｜"
"》"
""""
"‘"
"〃"
"﹍"
"』"
"〖"
"＂"
"「"
"，"
"︵"
"﹫"
"︶"
"…"
"『"
"’"
"”"
"﹠"
"—"
"﹉"
"】"
"﹪"
"︺"
"〝"
"︰"
"﹡"
"﹎"
"¿"
"¸"
"﹢"
"＿"
"‐"
"﹌"
"/"
"［"
"、"
"："
"〔"
"﹃"
"」"
"＇"
"﹦"
"（"
"〗"
"―"
"］"
"︷"
"{"
"）"
"$"
"︸"
"《"
"¨"
"〉"
"﹛"
"­"
"｀"
"〈"
"︽"
"。"
"‹"
"︻"
"︹"
"´"
"ˆ"
"﹤"
"【"
"›"
"﹩"
"﹟"
"}"
"﹔"
"‖"
"*"
"¡"
"﹁"
"+"
"︾"
"﹂"
"﹜"
"﹑"
"；"
"★"
"✅"
"／"
"◂"
"\-"
"⊂"
"˃"
"̶"
"ε"
"➕"
"·"
"↓"
"•"
"̆"
"๐"
"℃"
"ヾ"
"■"
"ノ"
"ι"
"￥"
"ㅋ"
"＞"
"＜"
"→"
"'"
"~"
"!"
"！"
"？"
"?"
